source,codigo,descripcion,excel_quantity,source_quantity,difference
JSON activo inventory-products.json,VAL-DORM1/2,"Válvula de bola de gas de paso de 1/2"" DORMONT",3.0,0.0,-3.0
JSON activo inventory-products.json,VAL-DORM3/4,"Válvula de bola de gas de paso de 3/4"" DORMONT",2.0,0.0,-2.0
JSON activo inventory-products.json,PO-A39,Banda V lisa estirada para uso industrial PRO ONE,1.0,0.0,-1.0
JSON activo inventory-products.json,PO-A40,Banda V lisa estirada para uso industrial PRO ONE,1.0,0.0,-1.0
JSON activo inventory-products.json,27-0459-1,Bujia de encendido KOBLENS -1,4.0,0.0,-4.0
JSON activo inventory-products.json,27-0295-9,Bujia de encendido KOBLENS -9,2.0,0.0,-2.0
JSON activo inventory-products.json,04-0642-1,Candado KOBLENS,2.0,0.0,-2.0
JSON activo inventory-products.json,CWB9-11-30D02,Contactor 9 A 24V 50/60Hz WEG,1.0,0.0,-1.0
JSON activo inventory-products.json,AH102524,Controlador de temperatura BLODGETT 33152,1.0,0.0,-1.0
JSON activo inventory-products.json,FNM-25,Fusible Bussman de 250vac,1.0,0.0,-1.0
JSON activo inventory-products.json,ATMR12,Fusible de ceramica 12A 600V,2.0,0.0,-2.0
JSON activo inventory-products.json,MCHF30Z0456,Fusible de ceramica 13 A para horno MERRYCHEF,2.0,0.0,-2.0
JSON activo inventory-products.json,ATQR25,Fusible de ceramica para horno,1.0,0.0,-1.0
JSON activo inventory-products.json,38-0441-6,Modulo de encendido electronico KOBLENS,1.0,0.0,-1.0
JSON activo inventory-products.json,3044300,Motor de 120 voltios  GARLAND,1.0,0.0,-1.0
JSON activo inventory-products.json,N00158OS1P56,Motor eléctrico weg monofásico 1.5 hp 4 polos 120v/220v WEG,0.0,2.0,2.0
JSON activo inventory-products.json,1150456NG2,Motor Monofásico 1.5Hp 115/230V 1800Rp High Power ELECTROMEX,0.0,1.0,1.0
JSON activo inventory-products.json,N00218OS1P56,Motor Monofasico 2 Hp 1750 Rpm en Baja 110/220v WEG,1.0,2.0,1.0
JSON activo inventory-products.json,ROJAS-4X11/8F,"Rueda loca con freno fijas de 4"" de alto x 1 1/8 de ancho ROJAS",2.0,0.0,-2.0
JSON activo inventory-products.json,GSW-5X11/8F,"Rueda locas fijas con freno de 5"" de alto x 1 1/8 "" de ancho GSW",4.0,0.0,-4.0
JSON activo inventory-products.json,BASE-12,"Fabricacion de base para estufa 12"" C18 con regatones",1.0,0.0,-1.0
JSON activo inventory-products.json,BASE-25,"Fabricacion de base para parrilla 25"" C18 con regatones",2.0,0.0,-2.0
JSON activo inventory-products.json,BASE-36,"Fabricacion de base para plancha 36"" C18 con regatones",3.0,0.0,-3.0
JSON activo inventory-products.json,MESA-TRAB120,"Mesa de trabajo acero T-304, C-18. 120 x 70 x 90 cm con entrepaño",1.0,0.0,-1.0
JSON activo inventory-products.json,MESA-TRAB200RESP,"Mesa de trabajo con respaldo acero T-304, C18. 200 x 70 x 90 cm con entrepaño",1.0,0.0,-1.0
JSON activo inventory-products.json,BASE-SALAMANDRA,"Soporte para salamandra fabricado en acero inoxidable t-304, C18",1.0,0.0,-1.0
JSON activo inventory-products.json,TARJA-100,Tarja Sencilla 100 cm con descanso C18 con descanso,1.0,0.0,-1.0
JSON activo inventory-products.json,TARJACARN-90,Tarja tipo carnicero de una tina  calibre 18. Dimensiones 90 x 75 x 90,1.0,0.0,-1.0
