Nombre,Código,Clase de Código de barras,Marca,Código de categoría,unit code,Venta unit code,Comprar unit code,Costo,Precio,Cantidad de alerta,Tasa de impuestos,Método de impuestos,Imagen,Código de la Sub categoría,Variantes de producto,Producto de campo personalizado 1,Producto Campo Personalizadoo 2,Producto Campo Personalizadoo 3,Producto Campo Personalizadoo 4,Producto Campo Personalizadoo 5,Producto Campo Personalizadoo 6,Cantidad,recID,warehouseStock,inventory_import
Encendedor ignitor de 24 volts,41-225,code128,robertshaw,2,Pieza,Pieza,Pieza,890.00,1200.00,0,IVA,Exclusivo,a7199ebe49e46a8bbc04ab83a17a9636.png,,,,,,,,,1.0,recXwYQogCnANIjUk,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 516, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Cabezal IMPERIAL,2119,code128,Generales,2,Pieza,Pieza,Pieza,3895.24,4781.55,0,IVA,Exclusivo,25f53f6645ad5fe8a5ba8e7418af75c1.png,,,,,,,,,,recmkUJcZB1nKs0WO,,
Quemador trasero HOBART,00-417260-000G1,code128,HOBART,2,Pieza,Pieza,Pieza,1380.00,1725.00,0,IVA,Exclusivo,799ff8d2d2aae9c43893023c27c0466d.png,,,,,,,,,3.0,recOzQGKiyb15zRhf,"{""tienda"": 3.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 222, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 3.0, ""bodega"": 0.0, ""physicalFinal"": 3.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Quemador frontal HOBART,00-417258-000G1,code128,HOBART,2,Metro,Metro,Metro,1190.00,1487.50,0,IVA,Exclusivo,eea4b8b43c1b892d14e9816114ea1fc1.png,,,,,,,,,3.0,recjxIZsPQ7VbIcrf,"{""tienda"": 3.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 219, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 3.0, ""bodega"": 0.0, ""physicalFinal"": 3.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Cabezal quemador, hornilla HOBART",00-417608-00001,code128,HOBART,2,Pieza,Pieza,Pieza,750.00,937.50,0,IVA,Exclusivo,198d1af3d943ef48200ae567d03bada7.png,,,,,,,,,6.0,rec6GoLGynB7vbrV5,"{""tienda"": 6.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 214, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 6.0, ""bodega"": 0.0, ""physicalFinal"": 6.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Quemador horno calentador izquierda DUKE,153027,code128,Generales,2,Pieza,Pieza,Pieza,686.43,857.50,0,IVA,Exclusivo,e3c887ced219052db793d4e396662156.png,,,,,,,,,4.0,rechW451HOuPQXpmV,"{""tienda"": 4.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 220, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 4.0, ""bodega"": 0.0, ""physicalFinal"": 4.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Termostato para freidora ROBERTSHAW,RX-1-36,code128,robertshaw,2,Pieza,Pieza,Pieza,1282.00,1700.00,0,IVA,Exclusivo,7928f832c0b59a4612c9d12bc78cc025.png,,,,,,,,,9.0,recwE9VP1hlNGS44I,"{""tienda"": 9.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 606, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 9.0, ""bodega"": 0.0, ""physicalFinal"": 9.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Termostato para freidora VULCAN/ROBERTSHAW,RX-2-24,code128,robertshaw,2,Pieza,Pieza,Pieza,710.00,900.00,0,IVA,Exclusivo,f47c0f2ad664a6c99965170b158b307c.png,,,,,,,,,0.0,receXZd7iYcpjEPal,"{""tienda"": 0.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 607, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 0.0, ""bodega"": 0.0, ""physicalFinal"": 0.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Termostato 200-450F Tapa 36″ ROBERTSHAW,SP-463-36,code128,robertshaw,2,Pieza,Pieza,Pieza,2600.00,3250.00,0,IVA,Exclusivo,d6e5ff33e573dc73f5986af856a00e6b.png,,,,,,,,,2.0,recXZu0X9outTmTvd,"{""tienda"": 2.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 600, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 2.0, ""bodega"": 0.0, ""physicalFinal"": 2.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Termostato 175-550F, 42"" ROBERTSHAW",S-236-42,code128,robertshaw,2,Pieza,Pieza,Pieza,2900.00,3625.00,0,IVA,Exclusivo,3e948fc164ffafd3c4e2fbddc966013b.png,,,,,,,,,1.0,recH8gD85PCtoVsDx,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 598, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Termostato 200 a 500 F, bulbo de 3/16″ x 12″, tapa de 48″ DUKE ",KXP-336-48,code128,robertshaw,2,Pieza,Pieza,Pieza,2079.00,2598.75,0,IVA,Exclusivo,26d8f4854a6aae405070da11da7f342a.png,,,,,,,,,1.0,recgjCTfWP0oXmqZ1,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 599, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Termostato automatico para calentador IUSA,376988,code128,Generales,2,Pieza,Pieza,Pieza,690.00,862.50,0,,Exclusivo,a4ffd8f59d7c67092c7d6bb1b4c19eb1.png,,,,,,,,,1.0,recb2s96FDzU63f64,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 601, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Llave mezcladora de 4"" a cubierta cuello 6"" FISHER",26174,code128,FISHER MANUFACURING COMPANNY,2,Pieza,Pieza,Pieza,1649.10,2061.38,0,IVA,Exclusivo,d097616ad9803647bea029b0c25aba83.png,,,,,,,,,0.0,recUMOfupGLihXGn5,"{""tienda"": 0.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 106, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 0.0, ""bodega"": 0.0, ""physicalFinal"": 0.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
